epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,42656.2,0.82322,0.43179,0.89591,0.91063,0.85102,0.90753,0.70455,0.97315,0.47465,0.97422,0.000785938,0.000785938,0.000785938
77,44128,0.82454,0.43878,0.89589,0.838,0.8844,0.92058,0.70434,0.97732,0.4804,0.97156,0.00077975,0.00077975,0.00077975
78,44889.6,0.81304,0.4312,0.89492,0.91874,0.84567,0.93342,0.71425,0.97997,0.48137,0.97472,0.000773563,0.000773563,0.000773563
79,45229.7,0.8212,0.43204,0.89381,0.88308,0.85795,0.90061,0.6872,0.98311,0.48305,0.97304,0.000767375,0.000767375,0.000767375
80,45556.5,0.81147,0.42719,0.89422,0.91676,0.91501,0.93924,0.73001,0.97714,0.47187,0.97502,0.000761188,0.000761188,0.000761188
81,45886.1,0.81584,0.42878,0.88878,0.87764,0.90577,0.92021,0.71238,0.9626,0.47178,0.96804,0.000755,0.000755,0.000755
82,46214.3,0.81128,0.43004,0.89048,0.88684,0.90801,0.92783,0.70816,0.98366,0.47986,0.97377,0.000748813,0.000748813,0.000748813
83,46546.5,0.80448,0.42467,0.88837,0.8589,0.89792,0.91956,0.71568,0.96546,0.47822,0.96761,0.000742625,0.000742625,0.000742625
84,46920.1,0.80568,0.42872,0.89126,0.87572,0.8989,0.92696,0.69675,0.98275,0.48365,0.97413,0.000736438,0.000736438,0.000736438
85,47252.2,0.79841,0.42313,0.89094,0.92678,0.90444,0.92155,0.70532,0.98352,0.47985,0.97436,0.00073025,0.00073025,0.00073025
86,47583.3,0.80077,0.41907,0.88692,0.91917,0.81617,0.91592,0.70488,0.97323,0.47887,0.97021,0.000724062,0.000724062,0.000724062
87,47912,0.78985,0.42085,0.88862,0.89471,0.84943,0.91391,0.69905,0.96558,0.47732,0.96839,0.000717875,0.000717875,0.000717875
88,48240.2,0.80213,0.42344,0.89228,0.93249,0.85056,0.92537,0.71091,0.96925,0.47051,0.97181,0.000711687,0.000711687,0.000711687
89,48569.1,0.7906,0.4142,0.8882,0.90782,0.84634,0.92293,0.70319,0.97713,0.48634,0.96977,0.0007055,0.0007055,0.0007055
90,48900.7,0.79394,0.41945,0.89145,0.91358,0.84837,0.90204,0.69745,0.96513,0.48323,0.96762,0.000699312,0.000699312,0.000699312
91,49225.4,0.79222,0.4171,0.88714,0.89785,0.85283,0.90417,0.70373,0.98632,0.48846,0.97428,0.000693125,0.000693125,0.000693125
92,49553.8,0.7845,0.40917,0.8849,0.89399,0.84456,0.91508,0.70556,0.98175,0.47941,0.97588,0.000686937,0.000686937,0.000686937
93,49882.6,0.78846,0.41267,0.88939,0.91495,0.8338,0.91812,0.69943,0.98349,0.48674,0.97467,0.00068075,0.00068075,0.00068075
94,50248.2,0.77352,0.40605,0.88387,0.87742,0.90417,0.91699,0.70613,0.98172,0.48037,0.97625,0.000674562,0.000674562,0.000674562
95,50614.8,0.778,0.4071,0.88687,0.90591,0.90227,0.94234,0.71821,0.97271,0.47119,0.97362,0.000668375,0.000668375,0.000668375
96,50981.7,0.77842,0.40918,0.88506,0.87008,0.91017,0.93819,0.72145,0.98833,0.48051,0.98008,0.000662188,0.000662188,0.000662188
97,51397,0.78194,0.41481,0.88946,0.93269,0.88837,0.9322,0.72612,0.97976,0.49065,0.97931,0.000656,0.000656,0.000656
98,51825.7,0.77844,0.40732,0.88602,0.87595,0.84274,0.90878,0.69978,0.99073,0.48577,0.98331,0.000649813,0.000649813,0.000649813
99,53046.4,0.76619,0.4062,0.88095,0.92046,0.84158,0.90559,0.68477,0.98308,0.48186,0.97865,0.000643625,0.000643625,0.000643625
100,54448.5,0.76896,0.40638,0.88232,0.9306,0.90498,0.93527,0.71284,0.99136,0.48048,0.98408,0.000637437,0.000637437,0.000637437
